map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  Cell 71745 (135, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 635.961365, up = 10000000000.000000, down = 668.289124
  Cell 73605 (135, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 635.961365, up = 668.289124, down = 10000000000.000000
  Cell 71436 (136, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 609.630127, up = 10000000000.000000, down = 635.961365
  Cell 73916 (136, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 609.630127, up = 635.961365, down = 10000000000.000000
  Cell 71127 (137, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 589.402222, up = 10000000000.000000, down = 609.630127
  Cell 74227 (137, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 589.402222, up = 609.630127, down = 10000000000.000000
  Cell 70818 (138, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 575.435913, up = 10000000000.000000, down = 589.402222
  Cell 74538 (138, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 575.439880, up = 589.402222, down = 10000000000.000000
  Cell 70509 (139, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 568.083679, up = 10000000000.000000, down = 575.435913
  Cell 74849 (139, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 568.199951, up = 575.439880, down = 10000000000.000000
  Cell 70200 (140, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 568.743652, up = 10000000000.000000, down = 568.083679
  Cell 75160 (140, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 570.273376, up = 568.199951, down = 10000000000.000000
  Cell 69891 (141, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 586.181152, up = 10000000000.000000, down = 568.743652

Cycle 16: curT = 3355.612549, curPe = 19, nc = 218, nwv = 18
  Cell 72671 (131, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 800.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72362 (132, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 756.039368, up = 10000000000.000000, down = 800.000000
  Cell 72982 (132, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 756.039368, up = 800.000000, down = 10000000000.000000
  Cell 72053 (133, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 717.040588, up = 10000000000.000000, down = 756.039368
  Cell 73293 (133, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 717.040588, up = 756.039368, down = 10000000000.000000
  Cell 71744 (134, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 683.508240, up = 10000000000.000000, down = 717.040588
  Cell 73604 (134, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 683.508240, up = 717.040588, down = 10000000000.000000
  Cell 71435 (135, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 655.613403, up = 10000000000.000000, down = 683.508240
  Cell 73915 (135, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 655.613403, up = 683.508240, down = 10000000000.000000
  Cell 71126 (136, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 633.454163, up = 10000000000.000000, down = 655.613403
  Cell 74226 (136, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 633.454163, up = 655.613403, down = 10000000000.000000
  Cell 70817 (137, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 617.150146, up = 10000000000.000000, down = 633.454163
  Cell 74537 (137, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 617.152527, up = 633.454163, down = 10000000000.000000
  Cell 70508 (138, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 606.936768, up = 10000000000.000000, down = 617.150146
  Cell 74848 (138, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 607.000977, up = 617.152527, down = 10000000000.000000
  Cell 70199 (139, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 603.631897, up = 10000000000.000000, down = 606.936768
  Cell 75159 (139, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 604.480530, up = 607.000977, down = 10000000000.000000
  Cell 69890 (140, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 611.798401, up = 10000000000.000000, down = 603.631897
  Cell 75470 (140, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 604.480530, down = 10000000000.000000

Cycle 17: curT = 3355.612549, curPe = 19, nc = 237, nwv = 19
  Cell 72670 (130, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 850.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72361 (131, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 805.675720, up = 10000000000.000000, down = 850.000000
  Cell 72981 (131, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 805.675720, up = 850.000000, down = 10000000000.000000
  Cell 72052 (132, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 765.938049, up = 10000000000.000000, down = 805.675720
  Cell 73292 (132, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 765.938049, up = 805.675720, down = 10000000000.000000
  Cell 71743 (133, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 731.329285, up = 10000000000.000000, down = 765.938049
  Cell 73603 (133, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 731.329285, up = 765.938049, down = 10000000000.000000
  Cell 71434 (134, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 702.036255, up = 10000000000.000000, down = 731.329285
  Cell 73914 (134, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 702.036255, up = 731.329285, down = 10000000000.000000
  Cell 71125 (135, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 678.154358, up = 10000000000.000000, down = 702.036255
  Cell 74225 (135, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 678.154358, up = 702.036255, down = 10000000000.000000
  Cell 70816 (136, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 659.779358, up = 10000000000.000000, down = 678.154358
  Cell 74536 (136, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 659.780884, up = 678.154358, down = 10000000000.000000
  Cell 70507 (137, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 647.076965, up = 10000000000.000000, down = 659.779358
  Cell 74847 (137, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 647.114136, up = 659.780884, down = 10000000000.000000
  Cell 70198 (138, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 640.535522, up = 10000000000.000000, down = 647.076965
  Cell 75158 (138, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 640.988892, up = 647.114136, down = 10000000000.000000
  Cell 69889 (139, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 642.858948, up = 10000000000.000000, down = 640.535522
  Cell 75469 (139, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 654.480530, up = 640.988892, down = 10000000000.000000

Cycle 18: curT = 3355.612549, curPe = 20, nc = 256, nwv = 19
  Cell 72669 (129, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 900.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72360 (130, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 855.357361, up = 10000000000.000000, down = 900.000000
  Cell 72980 (130, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 855.357361, up = 900.000000, down = 10000000000.000000
  Cell 72051 (131, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 814.959900, up = 10000000000.000000, down = 855.357361
  Cell 73291 (131, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 814.959900, up = 855.357361, down = 10000000000.000000
  Cell 71742 (132, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 779.384033, up = 10000000000.000000, down = 814.959900
  Cell 73602 (132, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 779.384033, up = 814.959900, down = 10000000000.000000
  Cell 71433 (133, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 748.833191, up = 10000000000.000000, down = 779.384033
  Cell 73913 (133, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 748.833191, up = 779.384033, down = 10000000000.000000
  Cell 71124 (134, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 723.403748, up = 10000000000.000000, down = 748.833191
  Cell 74224 (134, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 723.403748, up = 748.833191, down = 10000000000.000000
  Cell 70815 (135, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 703.177124, up = 10000000000.000000, down = 723.403748
  Cell 74535 (135, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 703.178101, up = 723.403748, down = 10000000000.000000
  Cell 70506 (136, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 688.275574, up = 10000000000.000000, down = 703.177124
  Cell 74846 (136, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 688.297974, up = 703.178101, down = 10000000000.000000
  Cell 70197 (137, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 679.010132, up = 10000000000.000000, down = 688.275574
  Cell 75157 (137, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 679.266907, up = 688.297974, down = 10000000000.000000
  Cell 69888 (138, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 676.943726, up = 10000000000.000000, down = 679.010132
  Cell 75468 (138, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 682.511230, up = 679.266907, down = 10000000000.000000
  Cell 69579 (139, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 676.943726

Cycle 19: curT = 3355.612549, curPe = 20, nc = 276, nwv = 20
  Cell 72668 (128, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 950.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72359 (129, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 905.077576, up = 10000000000.000000, down = 950.000000
  Cell 72979 (129, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 905.077576, up = 950.000000, down = 10000000000.000000
  Cell 72050 (130, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 864.088562, up = 10000000000.000000, down = 905.077576
  Cell 73290 (130, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 864.088562, up = 905.077576, down = 10000000000.000000
  Cell 71741 (131, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 827.639648, up = 10000000000.000000, down = 864.088562
  Cell 73601 (131, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 827.639648, up = 864.088562, down = 10000000000.000000
  Cell 71432 (132, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 795.951233, up = 10000000000.000000, down = 827.639648
  Cell 73912 (132, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 795.951233, up = 827.639648, down = 10000000000.000000
  Cell 71123 (133, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 769.123230, up = 10000000000.000000, down = 795.951233
  Cell 74223 (133, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 769.123230, up = 795.951233, down = 10000000000.000000
  Cell 70814 (134, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 747.228638, up = 10000000000.000000, down = 769.123230
  Cell 74534 (134, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 747.229248, up = 769.123230, down = 10000000000.000000
  Cell 70505 (135, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 730.361938, up = 10000000000.000000, down = 747.228638
  Cell 74845 (135, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 730.375916, up = 747.229248, down = 10000000000.000000
  Cell 70196 (136, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 718.732239, up = 10000000000.000000, down = 730.361938
  Cell 75156 (136, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 718.884338, up = 730.375916, down = 10000000000.000000
  Cell 69887 (137, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 713.220703, up = 10000000000.000000, down = 718.732239
  Cell 75467 (137, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 716.140259, up = 718.884338, down = 10000000000.000000
  Cell 69578 (138, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 726.943726, up = 10000000000.000000, down = 713.220703

Cycle 20: curT = 3355.612549, curPe = 20, nc = 296, nwv = 20
  Cell 72667 (127, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 1000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72358 (128, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 954.830933, up = 10000000000.000000, down = 1000.000000
  Cell 72978 (128, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 954.830933, up = 1000.000000, down = 10000000000.000000
  Cell 72049 (129, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 913.309631, up = 10000000000.000000, down = 954.830933
  Cell 73289 (129, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 913.309631, up = 954.830933, down = 10000000000.000000
  Cell 71740 (130, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 876.069214, up = 10000000000.000000, down = 913.309631
  Cell 73600 (130, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 876.069214, up = 913.309631, down = 10000000000.000000
  Cell 71431 (131, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 843.347168, up = 10000000000.000000, down = 876.069214
  Cell 73911 (131, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 843.347168, up = 876.069214, down = 10000000000.000000
  Cell 71122 (132, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 815.248596, up = 10000000000.000000, down = 843.347168
  Cell 74222 (132, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 815.248596, up = 843.347168, down = 10000000000.000000
  Cell 70813 (133, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 791.842041, up = 10000000000.000000, down = 815.248596
